GMT+8,C5K_97223084,C5K_96212039
,P.merged,P.catchment
2024-10-30 00:00:00,0.06,0.0
2024-10-30 01:00:00,0.0,0.0
2024-10-30 02:00:00,0.21,0.0
2024-10-30 03:00:00,0.5,0.0
2024-10-30 04:00:00,0.4,0.0
2024-10-30 05:00:00,0.96,0.0
2024-10-30 06:00:00,1.52,0.0
2024-10-30 07:00:00,1.03,0.0
2024-10-30 08:00:00,0.96,0.0
2024-10-30 09:00:00,2.01,0.0
2024-10-30 10:00:00,4.19,0.0
2024-10-30 11:00:00,4.08,0.06
2024-10-30 12:00:00,5.07,0.0
2024-10-30 13:00:00,3.78,0.0
2024-10-30 14:00:00,4.84,0.0
2024-10-30 15:00:00,8.58,0.0
2024-10-30 16:00:00,12.9,1.34
2024-10-30 17:00:00,12.93,6.07
2024-10-30 18:00:00,18.79,2.32
2024-10-30 19:00:00,31.37,4.54
2024-10-30 20:00:00,20.76,0.6
2024-10-30 21:00:00,25.58,0.02
2024-10-30 22:00:00,36.42,0.04
2024-10-30 23:00:00,33.54,1.43
2024-10-31 00:00:00,43.31,2.71
2024-10-31 01:00:00,40.49,6.27
2024-10-31 02:00:00,46.17,2.3
2024-10-31 03:00:00,36.85,4.66
2024-10-31 04:00:00,48.98,8.55
2024-10-31 05:00:00,57.5,13.49
2024-10-31 06:00:00,47.44,15.21
2024-10-31 07:00:00,46.25,41.78
2024-10-31 08:00:00,30.26,42.05
2024-10-31 09:00:00,38.06,21.97
2024-10-31 10:00:00,46.63,26.87
2024-10-31 11:00:00,48.06,39.77
2024-10-31 12:00:00,76.62,62.87
2024-10-31 13:00:00,58.26,85.63
2024-10-31 14:00:00,69.8,85.84
2024-10-31 15:00:00,73.68,76.46
2024-10-31 16:00:00,77.89,69.87
2024-10-31 17:00:00,66.82,76.96
2024-10-31 18:00:00,40.08,78.24
2024-10-31 19:00:00,37.71,71.6
2024-10-31 20:00:00,26.85,88.67
2024-10-31 21:00:00,21.13,84.59
2024-10-31 22:00:00,17.67,81.06
2024-10-31 23:00:00,15.92,69.96
2024-11-01 00:00:00,10.82,28.54
2024-11-01 01:00:00,4.78,14.36
2024-11-01 02:00:00,2.38,5.87
2024-11-01 03:00:00,1.1,1.86
2024-11-01 04:00:00,1.62,2.12
2024-11-01 05:00:00,0.08,0.87
2024-11-01 06:00:00,0.29,0.45
2024-11-01 07:00:00,0.15,0.37
2024-11-01 08:00:00,0.14,0.98
2024-11-01 09:00:00,0.44,0.83
2024-11-01 10:00:00,0.25,0.31
2024-11-01 11:00:00,0.24,0.45
