fid,CCTVID,SubAuthorityCode,LinkID,VideoStreamURL,VideoImageURL,LocationType,PositionLon,PositionLat,SurveillanceDescription,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,COUNTYSN,COUNTYNAME
1,CCTV-14-0620-009-002,THB-1R,1006200100900C,https://cctv-ss02.thb.gov.tw:443/T62-9K+020,https://cctv-ss02.thb.gov.tw:443/T62-9K+020/snapshot,"0","121.7321","25.10529",快速公路62號(暖暖交流道到大華系統交流道)(W),"100620",台62線,"1",W,9K+020,"10017001",基隆市
2,CCTV-14-0620-012-012,THB-1R,1006200101200F,https://cctv-ss02.thb.gov.tw:443/T62-12K+460,https://cctv-ss02.thb.gov.tw:443/T62-12K+460/snapshot,"0","121.7624","25.10815",快速公路62號(瑞芳交流道到暖暖交流道)(W),"100620",台62線,"1",W,12K+460,"10001001",新北市
3,CCTV-14-0620-012-007,THB-1R,1006200101260F,https://cctv-ss02.thb.gov.tw:443/T62-12K+805,https://cctv-ss02.thb.gov.tw:443/T62-12K+805/snapshot,"0","121.7657","25.10918",快速公路62號(瑞芳交流道到暖暖交流道)(W),"100620",台62線,"1",W,12K+805,"10001001",新北市
4,CCTV-14-0620-013-004,THB-1R,1006200101300F,https://cctv-ss02.thb.gov.tw:443/T62-13K+155,https://cctv-ss02.thb.gov.tw:443/T62-13K+155/snapshot,"0","121.769","25.11009",快速公路62號(瑞芳交流道到暖暖交流道)(W),"100620",台62線,"1",W,13K+155,"10001001",新北市
5,CCTV-14-0620-014-016,THB-1R,1006200101400F,https://cctv-ss02.thb.gov.tw:443/T62-14K+120,https://cctv-ss02.thb.gov.tw:443/T62-14K+120/snapshot,"0","121.7786","25.11076",快速公路62號(瑞芳交流道到暖暖交流道)(W),"100620",台62線,"1",W,14K+120,"10001001",新北市
6,CCTV-14-0620-014-009,THB-1R,1006200101440F,https://cctv-ss02.thb.gov.tw:443/T62-14K+755,https://cctv-ss02.thb.gov.tw:443/T62-14K+755/snapshot,"0","121.7849","25.11074",快速公路62號(瑞芳交流道到暖暖交流道)(W),"100620",台62線,"1",W,14K+755,"10001001",新北市
7,CCTV-14-0620-017-020,THB-1R,1006200101700F,https://cctv-ss02.thb.gov.tw:443/T62-17K+200,https://cctv-ss02.thb.gov.tw:443/T62-17K+200/snapshot,"0","121.807","25.11882",快速公路62號(瑞濱端到瑞芳交流道)(W),"100620",台62線,"1",W,17K+200,"10001001",新北市
8,CCTV-14-0620-017-015,THB-1R,1006200101740F,https://cctv-ss02.thb.gov.tw:443/T62-17K+468,https://cctv-ss02.thb.gov.tw:443/T62-17K+468/snapshot,"0","121.8095","25.11922",快速公路62號(瑞濱端到瑞芳交流道),"100620",台62線,"1",W,17K+468,"10001001",新北市
9,CCTV-14-0620-017-016,THB-1R,1006200101740F,https://cctv-ss02.thb.gov.tw:443/T62-17K+643,https://cctv-ss02.thb.gov.tw:443/T62-17K+643/snapshot,"0","121.8114","25.11926",快速公路62號(瑞濱端到瑞芳交流道)(W),"100620",台62線,"1",W,17K+643,"10001001",新北市
10,CCTV-14-0620-017-018,THB-1R,1006200101740F,https://cctv-ss02.thb.gov.tw:443/T62-17K+818,https://cctv-ss02.thb.gov.tw:443/T62-17K+818/snapshot,"0","121.8131","25.11926",快速公路62號(瑞濱端到瑞芳交流道)(W),"100620",台62線,"1",W,17K+818,"10001001",新北市
11,CCTV-14-0620-000-016,THB-1R,1006200000000C,https://cctv-ss02.thb.gov.tw:443/T62-0K+325,https://cctv-ss02.thb.gov.tw:443/T62-0K+325/snapshot,"0","121.7028","25.13932",快速公路62號(安樂端到瑪東系統交流道)(W),"100620",台62線,"1",E,0K+325,"10017001",基隆市
12,CCTV-14-0620-000-009,THB-1R,1006200000000C,https://cctv-ss02.thb.gov.tw:443/T62-0K+488,https://cctv-ss02.thb.gov.tw:443/T62-0K+488/snapshot,"0","121.702","25.13804",快速公路62號(安樂端到瑪東系統交流道)(E),"100620",台62線,"1",E,0K+488,"10017001",基隆市
13,CCTV-14-0620-000-011,THB-1R,1006200000000C,https://cctv-ss02.thb.gov.tw:443/T62-0K+838,https://cctv-ss02.thb.gov.tw:443/T62-0K+838/snapshot,"0","121.7001","25.13536",快速公路62號(安樂端到瑪東系統交流道)(E),"100620",台62線,"1",E,0K+838,"10017001",基隆市
14,CCTV-14-0620-001-012,THB-1R,1006200000100C,https://cctv-ss02.thb.gov.tw:443/T62-1K+363,https://cctv-ss02.thb.gov.tw:443/T62-1K+363/snapshot,"0","121.6974","25.13132",快速公路62號(安樂端到瑪東系統交流道)(E),"100620",台62線,"1",E,1K+363,"10017001",基隆市
15,CCTV-14-0620-001-013,THB-1R,1006200000100C,https://cctv-ss02.thb.gov.tw:443/T62-1K+538,https://cctv-ss02.thb.gov.tw:443/T62-1K+538/snapshot,"0","121.6968","25.12979",快速公路62號(安樂端到瑪東系統交流道)(E),"100620",台62線,"1",E,1K+538,"10017001",基隆市
16,CCTV-14-0620-001-019,THB-1R,1006200000170C,https://cctv-ss02.thb.gov.tw:443/T62-1K+900,https://cctv-ss02.thb.gov.tw:443/T62-1K+900/snapshot,"0","121.6976","25.12665",台62線1K+900,"100620",台62線,"1",E,1K+900,"10017001",基隆市
17,CCTV-14-0620-003-003,THB-1R,1006200000310C,https://cctv-ss02.thb.gov.tw:443/T62-3K+360,https://cctv-ss02.thb.gov.tw:443/T62-3K+360/snapshot,"0","121.6933","25.11514",快速公路62號(瑪東系統交流道到七堵交流道)(E),"100620",台62線,"1",E,3K+360,"10017001",基隆市
18,CCTV-14-0620-004-002,THB-1R,1006200100450C,https://cctv-ss02.thb.gov.tw:443/T62-4K+860,https://cctv-ss02.thb.gov.tw:443/T62-4K+860/snapshot,"0","121.6939","25.10237",快速公路62號(七堵交流道到大華系統交流道)(E),"100620",台62線,"1",W,4K+860,"10017001",基隆市
19,CCTV-14-0620-005-002,THB-1R,1006200000600C,https://cctv-ss02.thb.gov.tw:443/T62-5K+950,https://cctv-ss02.thb.gov.tw:443/T62-5K+950/snapshot,"0","121.7034","25.09804",快速公路62號(大華系統交流道到暖暖交流道)(E),"100620",台62線,"1",E,5K+950,"10017001",基隆市
