里程樁,路線名稱,Lon,Lat,海拔(m),方向,KM2,類別
000K+000,南港聯絡道,121.6233197,25.04680111,40.5,M,000K+000,國道
000K+100,南港聯絡道,121.6225496,25.04736788,42.05,M,000K+100,國道
000K+200,南港聯絡道,121.6218877,25.04803847,43.3,M,000K+200,國道
000K+300,南港聯絡道,121.6213472,25.04879394,44.55,M,000K+300,國道
000K+400,南港聯絡道,121.6209406,25.04961585,45.77,M,000K+400,國道
000K+500,南港聯絡道,121.6206767,25.0504849,47.0,M,000K+500,國道
000K+600,南港聯絡道,121.6205656,25.0513809,48.25,M,000K+600,國道
000K+700,南港聯絡道,121.6206041,25.05228177,49.52,M,000K+700,國道
000K+800,南港聯絡道,121.6207947,25.05316649,50.75,M,000K+800,國道
000K+900,南港聯絡道,121.6211246,25.05401689,51.42,M,000K+900,國道
001K+000,南港聯絡道,121.6215331,25.05483895,49.71,M,001K+000,國道
001K+100,南港聯絡道,121.6219833,25.05564228,45.4,M,001K+100,國道
001K+200,南港聯絡道,121.6223458,25.0564793,43.65,M,001K+200,國道
001K+300,南港聯絡道,121.6223736,25.05737584,44.24,M,001K+300,國道
001K+400,南港聯絡道,121.622043,25.05822154,44.82,M,001K+400,國道
001K+408,南港聯絡道,121.6220063,25.05828323,44.88,M,001K+408,國道
000K+000,台26,121.7419578,25.15133196,37.26,M,000K+000,國道
000K+100,台26,121.7410089,25.15159348,39.97,M,000K+100,國道
000K+200,台26,121.7400599,25.151855,42.69,M,000K+200,國道
000K+300,台26,121.739111,25.15211651,45.41,M,000K+300,國道
000K+400,台26,121.7381621,25.15237801,48.12,M,000K+400,國道
000K+500,台26,121.7372131,25.15263951,50.84,M,000K+500,國道
000K+600,台26,121.7362506,25.15285333,54.38,M,000K+600,國道
000K+700,台26,121.7352835,25.15304969,58.35,M,000K+700,國道
000K+800,台26,121.7343979,25.1534456,62.27,M,000K+800,國道
000K+900,台26,121.733491,25.15377858,66.35,M,000K+900,國道
001K+000,台26,121.7325843,25.15346708,70.31,M,001K+000,國道
001K+100,台26,121.7318202,25.15289264,74.3,M,001K+100,國道
001K+200,台26,121.7310344,25.15234485,78.32,M,001K+200,國道
001K+300,台26,121.7301073,25.1520452,82.09,M,001K+300,國道
001K+400,台26,121.7291242,25.15209677,83.46,M,001K+400,國道
001K+500,台26,121.7281612,25.15230803,82.23,M,001K+500,國道
001K+600,台26,121.7271952,25.15216323,80.26,M,001K+600,國道
001K+700,台26,121.726443,25.15158766,78.14,M,001K+700,國道
001K+800,台26,121.725816,25.15088984,75.68,M,001K+800,國道
001K+900,台26,121.7249745,25.15041923,73.38,M,001K+900,國道
002K+000,台26,121.7241653,25.14990707,72.69,M,002K+000,國道
002K+100,台26,121.7236463,25.14914136,74.31,M,002K+100,國道
002K+200,台26,121.7231948,25.14833791,76.71,M,002K+200,國道
002K+300,台26,121.7227613,25.14752615,78.7,M,002K+300,國道
002K+400,台26,121.7223185,25.14671852,80.56,M,002K+400,國道
002K+500,台26,121.7218559,25.14592036,81.34,M,002K+500,國道
002K+600,台26,121.7212106,25.14524188,80.75,M,002K+600,國道
002K+700,台26,121.7204319,25.14468326,79.34,M,002K+700,國道
002K+800,台26,121.7197511,25.14404008,78.7,M,002K+800,國道
002K+900,台26,121.719283,25.14324676,79.51,M,002K+900,國道
003K+000,台26,121.7187717,25.14247461,79.88,M,003K+000,國道
003K+100,台26,121.7181171,25.14179927,79.61,M,003K+100,國道
003K+200,台26,121.7173329,25.14124882,78.68,M,003K+200,國道
003K+300,台26,121.7165022,25.14075573,77.7,M,003K+300,國道
003K+400,台26,121.7156547,25.14028717,78.76,M,003K+400,國道
003K+500,台26,121.7148227,25.13979634,80.99,M,003K+500,國道
003K+517,台26,121.7146816,25.13971242,81.37,M,003K+517,國道
000K+000,國3甲,121.5499967,25.01628722,33.14,M,000K+000,國道
000K+100,國3甲,121.5507964,25.01575499,36.48,M,000K+100,國道
000K+200,國3甲,121.551596,25.01522277,39.82,M,000K+200,國道
000K+300,國3甲,121.5524107,25.01471113,44.23,M,000K+300,國道
000K+400,國3甲,121.5533011,25.01432034,48.35,M,000K+400,國道
000K+500,國3甲,121.5542535,25.01407855,51.72,M,000K+500,國道
000K+600,國3甲,121.5552386,25.01399824,54.3,M,000K+600,國道
000K+700,國3甲,121.5562283,25.01403251,56.12,M,000K+700,國道
000K+800,國3甲,121.5572172,25.01408494,57.9,M,000K+800,國道
000K+900,國3甲,121.5582069,25.01411239,59.72,M,000K+900,國道
001K+000,國3甲,121.559189,25.0140081,61.54,M,001K+000,國道
001K+100,國3甲,121.5601244,25.01371717,63.32,M,001K+100,國道
001K+200,國3甲,121.5609698,25.01325052,65.11,M,001K+200,國道
001K+300,國3甲,121.5616854,25.01262891,66.9,M,001K+300,國道
